Item ID,Short Title,Title,Year,Period,Vegetated strip description info,Nation,Study country,Study location,Latitude,Longitude,Outcomes
21569002,Liu (2012),"Impact of different contour hedgerows on control of nutrient, soil and water loss on slope land in Danjiangkou Reservoir Region",2012,2010-2014,contour hedgerow,China,China,"Xiaofuling (3245′31″N 11109′27″E), Danjiangkou County, Hubei Province",32.75,111.15,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Chemistry;Soil Physical;Soil Physical
21569003,Lizotte (2014),Influence of integrated watershed-scale agricultural conservation practices on lake water quality,2014,2010-2014,vegetative filter strip,USA,"Mississippi, USA","Beasley Lake, Sunflower County, latitude 3324′15″ N, longitude 9040′05″ W",33.398319,-90.676415,Soil Physical;Soil Chemistry
21569008,Long (2015),"Impacts of riparian buffer vegetation on soil quality physical parameters, 20-23 years after initial riparian buffer establishment",2015,2015-2016,riparian buffer,USA,"Iowa, USA",Bear creek watershed,42.182677,-93.501316,Biodiversity;Soil Chemistry;Soil Physical;Soil Chemistry;Soil Physical;Soil Physical
21569019,Lowrance (1997),Herbicide transport in a managed riparian forest buffer system,1997,1995-1999,riparian forest buffer,USA,"Georgia, USA","Gibbs Farm, University of Georgia Coastla Plain Experiment Station, Tifton",31.450464,-83.508498,Pollution
21569023,Ludwig (2012),Landscape-moderated bird nest predation in hedges and forest edges,2012,2010-2014,hedge,Germany,Germany,"Göttingen (51.5N, 9.9E), southern lower Saxony",51.083333,9.15,Biodiversity;Ecosystem Functioning
21569025,Ludy (2004),How to catch foliage-dwelling spiders (Araneae) in maize fields and their margins: a comparison of two sampling methods,2004,2000-2004,margin strip,Germany,Germany,"Bavarian State Research Center for Agriculture located in Swabia, Frankonia and Upper Bavaria",50.850273,9.066284,Biodiversity
21569031,Lütz (2002),Implementation of landscape planning and nature conservation in the agricultural landscape - A case study from saxony,2002,2000-2004,buffer zone;field margin,Germany,Germany,"Promnitztal, Saxony",51.10454,13.201739,Human Use
21569033,Lyngby (1981),THE SPATIAL DISTRIBUTION OF CARABIDS COLEOPTERA CARABIDAE IN RELATION TO A SHELTERBELT,1981,1980-1984,shelterbelt,Denmark,Denmark,"Lyngbygaard, 8km west of Aarhus",56.163572,10.023754,Biodiversity
21569034,Lynn (2007),Field Margin Weed-Species Diversity in Relation to Landscape Attributes and Adjacent Land Use,2007,2005-2009,field margin,USA,"Wisconsin, USA","Wisconsin counties: Adams, Dane, Fond du Lac, Grant, Trempeleau, and Walworth",43.250547,-89.501509,Biodiversity
21569036,Ma (2008),Multi-scale responses of plant species diversity in semi-natural buffer strips to agricultural landscapes,2008,2005-2009,buffer strip,Finland,Finland,"Lepsämä River watershed, Nurmijärvi, Southern Finland.(60 23' - 60 28'N, 24 31'- 24 43'E).",60.346167,24.721716,Biodiversity
21569048,Macleod (2004),Habitat associations and breeding success of the Chaffinch Fringilla coelebs,2004,2000-2004,boundary,UK,UK,"Angus (Memus 5640′N, 250′W; 208 ha) and Fife, (Gilston; 5620′N, 3W; 196 ha),",56.684466,-2.970135,Biodiversity
21569054,Maisonneuve (2001),Importance of riparian habitats for small mammal and herpetofaunal communities in agricultural landscapes of southern Quebec,2001,2000-2004,riparian strip,Canada,"Québec, Canada","Boyer River watershed, St. Lawrence River near Québec City",46.807325,-71.210716,Biodiversity
21569056,Makulec (2004),"Lumbricidae communities in several years old midfield shelterbelt (Turew region, Western Poland)",2004,2000-2004,shelterbelt,Poland,Poland,"Turew, western Poland",52.058832,16.826234,Biodiversity
21569058,Mander (1997),Efficiency and dimensioning of riparian buffer zones in agricultural catchments,1997,1995-1999,buffer zone,Estonia,Estonia,"Proijogi River and Viiratsi, Viljandi County",58.356708,25.625304,Soil Chemistry;Soil Physical
21569060,Mander (2008),Gaseous nitrogen and carbon fluxes in riparian alder stands,2008,2005-2009,riparian buffer,Multiple,"Estonia, Germany","Tartu county, Sirvaku, Estonia 58 13N; 26 47E; Muncheberg, Brandenburg state, Germany , 52 50N; 14 14E",multiple,multiple,Soil Chemistry;Soil Chemistry;Soil Physical;Ecosystem Functioning
21569062,Mander (1999),Nutrient transformation in riparian buffer zones: modelling approach,1999,1995-1999,buffer zone,Estonia,Estonia,"Viiratsi pig farm, Viljandi County and Porijogi River",58.356708,25.625304,Soil Chemistry;Soil Chemistry
21569067,Mander (2014),Isotopologue ratios of N2O and N2 measurements underpin the importance of denitrification in differently N-loaded riparian alder forests,2014,2010-2014,riparian forest,Estonia,Estonia,"Porijõgi (5812′41″N, 2646′55′E), Viiratsi (5820′N, 2539′20″E),",58.356708,25.625304,Soil Chemistry;Ecosystem Functioning
21569075,Mankin (2007),"GRASS-SHRUB RIPARIAN BUFFER REMOVAL OF SEDIMENT, PHOSPHORUS, AND NITROGEN FROM SIMULATED RUNOFF",2007,2005-2009,riparian buffer;vegetative filter strip,USA,"Kansas, USA","A tributary of the West Branch Mill Creek in the Flint Hills, Geary County,",38.998468,-96.792236,Soil Chemistry;Soil Chemistry;Soil Physical
21569082,Marcus (2000),The effects of farm field borders on overwintering sparrow densities,2000,2000-2004,field border,USA,"North Carolina, USA","Wilson County (77 53' W, 35 42' N), Hyde County (76 05' W, 35 25' N)",35.700303,-77.882317,Biodiversity
21569084,Marja (2012),The importance of drainage ditches for farmland birds in agricultural landscapes in the Baltic countries: does field type matter?,2012,2010-2014,grassy margin,Multiple,"Estonia, Latvia and Lithuania","Estonia, Latvia and Lithuania",multiple,multiple,Biodiversity
21569087,Marshall (2009),The impact of landscape structure and sown grass margin strips on weed assemblages in arable crops and their boundaries,2009,2005-2009,grass margin strip,UK,UK,UK,52.831319,-1.770154,Biodiversity
21569100,Marshall (2006),"Impacts of field margins, landscape and crop on the distributions of Syrphidae on an arable farm",2006,2005-2009,field margin,UK,UK,"Near Great Barrington, Oxfordshire",51.758613,-1.263911,Biodiversity
21569101,Marshall (2006),Impacts of an agri-environment field margin prescription on the flora and fauna of arable farmland in different landscapes,2006,2005-2009,field margin,UK,UK,UK,52.831319,-1.770154,Biodiversity
21569103,Marshall (2002),"Field boundary habitats for wildlife, crop, and environmental protection",2002,2000-2004,hedge;sown grass strip,UK,UK,"WIltshire, UK (Noland's farm and Manor farm)",51.31688,-1.987368,Biodiversity
21569104,Marshall (2009),The impact of upland land management on flooding: Results from an improved pasture hillslope,2009,2005-2009,shelterbelt,UK,UK,"Pontbren (52 38.5 N, 3 25 E)",51.869126,-3.846277,Soil Chemistry;Soil Physical
21569109,Martinez (2010),Habitat structure versus food abundance: the importance of sparse vegetation for the common redstart Phoenicurus phoenicurus,2010,2010-2014,ruderal vegetation strip,Switzerland,Switzerland,Northwest Switzerland,46.740913,6.849554,Biodiversity
21569112,Mason (2000),Influence of landscape and land-use on the distribution of breeding birds in farmland in eastern England,2000,2000-2004,hedge;field boundary,UK,UK,"Tendring district of north-east Essex, U.K. (51 8 50 N, 1 8 10 E)",51.740076,0.530851,Biodiversity
21569117,Maudsley (2002),Spatial distribution patterns of predatory arthropods within an English hedgerow in early winter in relation to habitat variables,2002,2000-2004,hedgerow,UK,UK,Backwell Farleigh in south-west England (NGR ST 490 694),51.398165,-2.738972,Biodiversity
21569125,McAneney (1990),MODIFICATION OF AN ORCHARD CLIMATE WITH INCREASING SHELTER-BELT HEIGHT,1990,1990-1994,shelterbelt,New Zealand,New Zealand,"Kerikeri Horticultural Research Station 35 16 S, 173 55 E) located in the Bay of Islands near the extreme north of New Zealand",-35.266323,173.917657,Soil Physical;Soil Physical;Human Use
21569127,McCollum (2004),Landscape and local influences on the biotic integrity of fish communities in Ohio headwater streams,2004,2000-2004,buffer,USA,"Ohio, USA",Ohio Brush Creek,38.886069,-83.538635,Biodiversity
21569128,McCracken (2012),Improving the Farmland Biodiversity Value of Riparian Buffer Strips: Conflicts and Compromises,2012,2010-2014,riparian buffer strip,UK,UK,"Cessnock Catchment, Ayrshire, Scotland (55 32 38 N, 4 21 55 W)",55.364832,-4.667893,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
21569129,McDowell (2006),Effects of shelter belts on fence-line pacing of deer and associated impacts on water and soil quality,2006,2005-2009,shelter belt,New Zealand,New Zealand,"Mossburn, Northern Southland",-45.532723,167.991569,Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
21569135,McMahon (2005),Farmland birds and the field boundary evaluation and grading system in Ireland,2005,2005-2009,field boundary;hedgerow,Ireland,Ireland,9 farms in Ireland,53.41264,-8.246522,Biodiversity
21569144,Mendez (1999),Sediment and nitrogen transport in grass filter strips,1999,1995-1999,grass filter strip,USA,"Virginia, USA","Virginia Tech Prices Fork Research Farm, 10 km west of Blacks- burg, Virginia",37.215411,-80.432379,Soil Chemistry;Soil Physical;Soil Physical
21569146,Mengis (1999),Multiple geochemical and isotopic approaches for assessing ground water NO3- elimination in a riparian zone,1999,1995-1999,riparian zone,Canada,"Ontario, Canada","Strawberry creek watershed, 10km north of Waterloo",43.468885,-80.532615,Soil Chemistry;Soil Chemistry
21569150,Merckx (2010),Shelter benefits less mobile moth species: The field-scale effect of hedgerow trees,2010,2010-2014,field margin,UK,UK,"Stonesfield, Oxfordshire, UK, SP3917",51.619023,-1.226136,Biodiversity
21569151,Merckx (2010),Habitat preference and mobility of Polia bombycina: Are non-tailored agri-environment schemes any good for a rare and localised species?,2010,2010-2014,hedgerow;grass margin,UK,UK,"River Evenlode catchment, Oxfordshire, UK",51.619023,-1.226136,Biodiversity
21569152,Merckx (2009),Optimizing the biodiversity gain from agri-environment schemes,2009,2005-2009,hedgerow;grass margin,UK,UK,Southern England,51.096121,-1.465106,Biodiversity
21569154,Merckx (2012),Hedgerow trees and extended-width field margins enhance macro-moth diversity: implications for management,2012,2010-2014,field margin,UK,UK,Oxfordshire,51.619023,-1.226136,Biodiversity
21569155,Meriggi (1991),"HABITAT USE BY PARTRIDGES (PERDIX-PERDIX AND ALECTORIS-RUFA) IN AN AREA OF NORTHERN APENNINES, ITALY",1991,1990-1994,hedgerow,Italy,Italy,Northern Apennines,44.887984,9.817995,Biodiversity
21569159,Messer (2011),Groundwater nitrate reductions within upstream and downstream sections of riparian buffers,2011,2010-2014,riparian buffer,USA,"North Carolina, USA","Halifax County, north of Enfield, NC",36.264676,-77.607787,Soil Chemistry;Soil Chemistry;Soil Physical
21569165,Millan (2003),Landscape context and carabid beetles (Coleoptera: Carabidae) communities of hedgerows in western France,2003,2000-2004,hedgerow,France,France,Department of Cotes d'Armor (Brittany),48.510786,-3.326367,Biodiversity
21569176,Moisan-DeSerres (2015),"Influence of windbreaks and forest borders on abundance and species richness of native pollinators in lowbush blueberry fields in Quebec, Canada",2015,2015-2016,windbreak;forest border,Canada,"Québec, Canada","lbanel (48.926175N, 72.369388W), St-Augustin (48.822036N, 71.846414W), Notre-Dame-de- Lorette (49.014298N, 72.394395W), and St-Eugène (49.002597N, 72.330050W: Northern part of the Lac-St-Jean region",48.822036,-71.846414,Biodiversity;Ecosystem Functioning
21569182,Momoli (2007),Sediment morphology and distribution in a restored riparian forest,2007,2005-2009,riparian forest,Brazil,"São Paulo, Brazil","Iracema reserve located in the Ribeirão Cachoerinha watershed, Iracemápolis (22º35'S and 47º31'W)",-22.58333,-47.516668,Soil Physical
21569185,Moonen (2001),"The influence of sown margin strips, management and boundary structure on herbaceous field margin vegetation in two neighbouring farms in southern England",2001,2000-2004,sown margin strip;field margin,UK,UK,"Yatesbury, Wiltshire (51 27 N; 1 54 W), Noland's Farm and Manor Farm",54.137088,-0.79868,Biodiversity
21569189,Moorman (2013),Small mammal use of field borders planted as beneficial insect habitat,2013,2010-2014,field border,USA,"North Carolina, USA","Center for Environmental Farming System's Organic Research Unit outside of Goldsboro, North Carolina",35.383527,-78.036373,Biodiversity
21569206,Morris (2001),Foraging habitat selection by yellowhammers (Emberiza citrinella) nesting in agriculturally contrasting regions in lowland England,2001,2000-2004,field boundary,UK,UK,"Devon (6 sites), Oxford (10 sites), East Anglia (6 sites)",52.523809,0.702219,Biodiversity
21569219,Munoz-Carpena (1999),Modeling hydrology and sediment transport in vegetative filter strips,1999,1995-1999,vegetative filter strip,USA,"North Carolina, USA",North Carolina Piedmont,35.398289,-79.034893,Soil Physical;Soil Physical
21569233,Nascimbene (2012),Organic farming benefits local plant diversity in vineyard farms located in intensive agricultural landscapes,2012,2010-2014,grass strip;hedgerow,Italy,Italy,Veneto,45.762333,11.690976,Biodiversity
21569236,Nazzi (1989),"Soil invertebrate dynamics of soybean agroecosystems encircled by hedgrows or not in Friuli, Italy. First data",1989,1985-1989,hedgerow,Italy,Italy,"Carpeneto, Urdine, Friuli",44.688954,8.614716,Biodiversity
21569247,Nieminen (2011),Local land use effects and regional environmental limits on earthworm communities in Finnish arable landscapes,2011,2010-2014,field margin,Finland,Finland,"Rovaniemi, Ruuki, Sotkamo, Toholampi, Maanika, Ylistaero, Laukaa, Juva, Palkane, Jokioinen, Mietoinen",62.330376,25.799232,Biodiversity
21569254,Noij (2012),Effectiveness of Unfertilized Buff er Strips for Reducing Nitrogen Loads from Agricultural Lowland to Surface Waters,2012,2010-2014,buffer strip,The Netherlands,The Netherlands,"Beltrum, Zegveld, Winterswijk, Loon op Zand, Lelystad",52.139445,4.836389,Soil Chemistry;Soil Chemistry
21569255,Noij (2013),Effectiveness of buffer strips without added fertilizer to reduce phosphorus loads from flat fields to surface waters,2013,2010-2014,buffer strip,The Netherlands,The Netherlands,"Beltrum, Zegveld, Winterswijk, Loon op Zand, Lelystad",52.139445,4.836389,Soil Chemistry
21569256,Noij (2012),Effectiveness of Unfertilized Buff er Strips for Reducing Nitrogen Loads from Agricultural Lowland to Surface Waters,2012,2010-2014,buffer strip,The Netherlands,The Netherlands,"Beltrum (52 04 56 N, 6 32 11 E), Zegveld (52 8 22 N, 4 50 11 E), Winterswijk (51 54 57 N, 6 43 22 E), Loon op Zand (51 37 28 N, 5 5 36 E), Lelystad (52 32 25 N, 5 33 21 E)",52.139445,4.836389,Soil Chemistry;Soil Chemistry;Soil Physical
21569258,Noordijk (2010),Invertebrates in field margins: taxonomic group diversity and functional group abundance in relation to age,2010,2010-2014,field margin,The Netherlands,The Netherlands,"Zeeland (51 10-52 0 N, 3 10-4 20 E)",51.494035,3.849687,Biodiversity
21569260,Nord (1991),Shelter effects of vegetation belts - Results of field measurements,1991,1990-1994,shelterbelt,Sweden,Sweden,4 km to the NW of the central parts of the town of Uppsala in the middle of Sweden; Valaholm is situated about 10 km to the north of Lund in the south of Sweden; Gullbranna is situated some 10 km to the SE of the town of Halmstad and less than 1 km from the west coast of Sweden; Stiby is situated about 3 km from the coast (the Baltic) and about 10 km to the SE of the small town of Solvesborg.,multiple,multiple,Human Use
21569266,Nowak (2004),Enchytraeids (Oligochaeta) in the agricultural landscape,2004,2000-2004,shelterbelt,Poland,Poland,Turew,52.058832,16.826234,Biodiversity
21569267,Nowak (2007),"Enchytraeids (Enchytraeidae, Oligochaeta) in midfield shelterbelts of different age and in adjoining croplands",2007,2005-2009,shelterbelt,Poland,Poland,"Turew area (Poznań province, Western Poland)",52.058832,16.826234,Biodiversity
21569272,Nuutinen (2011),Field margins and management affect settlement and spread of an introduced dew-worm (Lumbricus terrestris L.) population,2011,2010-2014,field margin,Finland,Finland,"Kotkanoja Jokioinen, southwestern Finland (60 49 N, 23 30 E)",60.816667,23.5,Biodiversity
21569273,Ó (2014),Field margins: a comparison of establishment methods and effects on hymenopteran parasitoid communities,2014,2010-2014,field margin,Ireland,Ireland,"Teagasc Research Centre, Johnstown Castle, Co. Wexford in S.E. Ireland (5217′N, 630′W)",52.283665,-6.500506,Human Use
21569278,Oberg (2007),Influence of habitat type and surrounding landscape on spider diversity in Swedish agroecosystems,2007,2005-2009,field margin,Sweden,Sweden,"Around Uppsala, Sweden (59 51'N;178 41'E)",59.821749,17.616616,Biodiversity
21569280,Ocampo (2006),Nitrate attenuation in agricultural catchments: Shifting balances between transport and reaction,2006,2005-2009,riparian zone,Australia,"Western Australia, Australia","Susanna Brook, 25 km east of Perth (31 50 S, 116 8 E)",-31.833409,116.133254,Soil Chemistry;Soil Chemistry
21569285,Ogbuehi (1981),INFLUENCE OF WINDBREAK SHELTER ON SOYBEAN GLYCINE-MAX PRODUCTION UNDER RAINFED CONDITIONS,1981,1980-1984,windbreak,USA,"Nebraska, USA","University of Nebraska, Lincoln Field Laboratory, Mead (40 29'N 96 30'W)",41.453032,-96.414606,Soil Physical;Human Use;Human Use
21569290,Olechowicz (2004),"Soil-litter macrofauna in the mixed forest and midfield shelterbelts of different age (Turew area, West Poland)",2004,2000-2004,shelterbelt,Poland,Poland,"Turew, Poznan, west Poland",52.058832,16.826234,Biodiversity
21569291,Olechowicz (2007),Soil and litter macrofauna in shelterbelts and in adjacent croplands: Changes in community structure after tree planting,2007,2005-2009,shelterbelt,Poland,Poland,"the vicinity of Turew near Poznań (16 45' to 16 50'E and 52 00' to 52 06'N), western Poland",52.058832,16.826234,Biodiversity
21569292,Olejniczak (2007),Soil mesofauna (Acarina and Collembola) along transects crossed shelterbelts of different age and adjacent fields,2007,2005-2009,shelterbelt,Poland,Poland,"Gen. D. Chłapowski Landscape Park near Turew in Western Poland (16 45'E, 52 01'W)",52.058832,16.826234,Biodiversity;Soil Physical
21569298,Olson (2007),Management of field margins to maximize multiple ecological services,2007,2005-2009,field margin,USA,"Georgia, USA",Mitchel County and Colquitt County,31.092718,-83.834325,Biodiversity;Human Use
21569303,Oreszczyn (2000),Participative approaches to hedgerow conservation,2000,2000-2004,hedgerow,UK,UK,Buckinghamshire and Cambridgeshire,51.658891,-0.820103,Social
21569313,Otto (2012),Effect of vegetative filter strips on herbicide runoff under various types of rainfall,2012,2010-2014,vegetative filter strip,Italy,Italy,"Padova University Experimental Farm in the Po Valley, north-east Italy",45.199991,11.966609,Soil Physical;Pollution
21569318,Outward (2008),Effects of vegetated field borders on arthropods in cotton fields in eastern North Carolina,2008,2005-2009,vegetated field border,USA,"North Carolina, USA","Wilson, Pitt and Edgecombe counties",35.582136,-77.392702,Biodiversity;Human Use
21569320,Owens (2007),Evaluation of contrasting buffer features within an agricultural landscape for reducing sediment and sediment-associated phosphorus delivery to surface waters,2007,2005-2009,buffer,UK,UK,River Parrett basin,51.090387,-3.011092,Soil Chemistry;Soil Physical
21569321,Owino (2006),Nutrients in runoff from a clay loam soil protected by narrow grass strips,2006,2005-2009,grass strip,Kenya,Kenya,"Egerton University, situated approximately 200 km northwest of Nairobi (0 22'S, 35 55'E, 2240m)",-0.366667,35.916667,Soil Chemistry;Soil Chemistry;Soil Physical;Ecosystem Functioning
21569324,Paetzold (2007),Run-off transport of herbicides during natural and simulated rainfall and its reduction by vegetated filter strips,2007,2005-2009,vegetated filter strip,Germany,Germany,"Velbert-Neviges, North Rhine-Westphalia",51.306466,7.101415,Soil Physical;Soil Physical;Pollution
21569326,Palmer (1998),Effects of foliar insecticides on survival of northern bobwhite quail chicks,1998,1995-1999,field border,USA,"North Carolina, USA","Alligator River National Wildlife Refuge, Dare County",35.842578,-75.90553,Biodiversity
21569333,Panek (2000),Habitat use by the Partridge Perdix perdix during the breeding season in the diversified agricultural landscape of western Poland,2000,2000-2004,strip,Poland,Poland,"agricultural area (97 km2) around Czempiń, near Poznań, western Poland",52.142242,16.759447,Biodiversity;Human Use;Recreation
21569340,Parish (1994),"Modelling the relationship between bird population variables and hedgerow and other field margin attributes. 1. Species richness of winter, summer and breeding birds",1994,1990-1994,hedgerow;field margin,UK,UK,"Swavesey and Alconbury, Cambridgeshire",52.003733,0.105998,Biodiversity
21569343,Parish (1995),"Modelling the relationship between bird population variables and hedgerow, and other field margin attributes. 2. Abundance of individual species and of groups of similar species",1995,1995-1999,hedge;field margin,UK,UK,"Huntingdon and Swavesey, in East Anglia",52.204263,-0.161687,Biodiversity
21569361,Paudel (2012),"Soil quality indicator responses to row crop, grazed pasture, and agroforestry buffer management",2012,2010-2014,grass buffer;agroforestry buffer,USA,"Missouri, USA","Horticulture and Agroforestry Research Center (HARC) of the University of Missouri in New Franklin (92 74'W, 37 2' N)",39.092554,-91.261664,Soil Chemistry;Soil Chemistry;Soil Physical
21569365,Peak (2006),Factors affecting avian species richness and density in riparian areas,2006,2005-2009,buffer strip,USA,"Missouri, USA","Fabius and Fox River watersheds, Scotland, Knox and Clark counties",40.205553,-92.223413,Biodiversity
21569366,Peak (2004),Factors affecting songbird nest survival in Riparian forests in a midwestern agricultural landscape,2004,2000-2004,riparian forest,USA,"Missouri, USA","Fabius and Fox river watersheds in Scotland, Knox, and Clark counties",40.205553,-92.223413,Biodiversity
21569376,Pérez-Suárez (2014),Nitrogen and carbon dynamics in prairie vegetation strips across topographical gradients in mixed Central Iowa agroecosystems,2014,2010-2014,vegetated strip,USA,"Iowa, USA","Neal Smith National Wildlife Refuge, Walnut Creek watershed in Jasper County, Iowa.",41.598459,-93.038414,Soil Chemistry;Soil Chemistry
21569377,Perovic (2011),Rubidium labelling demonstrates movement of predators from native vegetation to cotton,2011,2010-2014,shelterbelt,Australia,"New South Wales, Australia","near Warren, New South Wales (31 51 S 147 43 E)",-31.850119,147.716772,Human Use
21569384,Peterjohn (1984),NUTRIENT DYNAMICS IN AN AGRICULTURAL WATERSHED OBSERVATIONS ON THE ROLE OF A RIPARIAN FOREST,1984,1980-1984,riparian forest;hedgerow,USA,"Maryland, USA","Rhode River, Chesapeake Bay (38 53 N, 76 33 W)",38.883446,-76.550311,Soil Chemistry;Soil Chemistry;Soil Chemistry
21569385,Petit (1998),"Effects of landscape dynamics on the metapopulation of a ground beetle (Coleoptera, Carabidae) in a hedgerow network",1998,1995-1999,hedgerow,France,France,"Saint Marcan, 60km North of Rennes, Brittany",48.587175,-1.633883,Biodiversity
21569387,Petrovan (2013),"Habitat selection guiding agri-environment schemes for a farmland specialist, the brown hare",2013,2010-2014,field margin,UK,UK,"North Yorkshire (54 20 N, 0 50 E)",53.845903,-1.600766,Biodiversity
21569391,Pfiffner (2000),Overwintering of arthropods in soils of arable fields and adjacent semi-natural habits,2000,2000-2004,meadow strip;hedgerow;wildflower strip,Switzerland,Switzerland,"Aesch and Oberwil, Northwest Switzerland",46.740913,6.849554,Biodiversity
21569392,Pfiffner (2009),Impact of wildflower strips on biological control of cabbage lepidopterans,2009,2005-2009,wildflower strip,Switzerland,Switzerland,"Bilbern, Solothurn and Murimoos, Bern",46.873351,7.388218,Human Use
21569398,Pilon (2013),"Ground beetles (Coleoptera: Carabidae) of rice field banks and restored habitats in an agricultural area of the Po Plain (Lombardy, Italy)",2013,2010-2014,buffer strip,Italy,Italy,"Lacchiarella and Giussago (45 17 38.63 N, 9 8 52.08 E)",45.292931,9.146733,Biodiversity
21569403,Plush (2013),Overwintering sparrow use of field borders planted as beneficial insect habitat,2013,2010-2014,field border,USA,"North Carolina, USA",Center for Environmental Farming System’s Organic Research Unit (ORU) near Goldsboro,35.383527,-78.036373,Biodiversity
21569407,Pollard (1968),HEDGES III THE EFFECT OF REMOVAL OF THE BOTTOM FLORA OF A HAWTHORN-D HEDGEROW ON THE CARABIDAE OF THE HEDGE BOTTOM BARLEY-M AGONUM-DORSALE,1968,1965-1969,hedgerow,UK,UK,"Ashton Wold Estate, Northamptonshire (TL065880)",52.11669,-0.911982,Biodiversity
21569410,Poole (2013),Optimizing agri-environment schemes to improve river health and conservation value,2013,2010-2014,riparian vegetation,UK,UK,"Upper Thames and its tributaries, southern England, encompassing the rivers Thames,Windrush, Evenlode, Cherwell, Oxon Ray and Thame, stretchingfrom Kemble, Gloucestershire, 1◦26'W W 51◦40'N, to Cheddington,Buckinghamshire 0◦39'W 51◦50'N, and from Woodford Hasle,Northamptonshire 1◦12'W 52◦10'N to Wallingford, Oxfordshire,1◦07'W 51◦36'N",51.647629,-1.275132,Biodiversity
21569422,Pulido-Santacruz (2011),Live fences as tools for biodiversity conservation: A study case with birds and plants,2011,2010-2014,live fence,Colombia,Colombia,"Cordillera Central of the Colombian Andes (05 16' N 75 29' W, 1900-2100m), Municipality of Aranzazu, Department of Caldas",5.266667,-75.483333,Biodiversity
21569425,Pywell (2011),Management to enhance pollen and nectar resources for bumblebees and butterflies within intensively farmed landscapes,2011,2010-2014,field margin,UK,UK,"near Malton, Yorkshire, UK (54 5' 2''N, 0 49' 11''W)",54.137088,-0.79868,Biodiversity;Ecosystem Functioning
21569426,Pywell (2006),Effectiveness of new agri-environment schemes in providing foraging resources for bumblebees in intensively farmed landscapes,2006,2005-2009,field margin,UK,UK,Across England and Wales,52.715773,-1.761163,Biodiversity;Ecosystem Functioning
21569429,Rachman (2004),Soil hydraulic properties influenced by stiff-stemmed grass hedge systems,2004,2000-2004,grass hedge,USA,"Iowa, USA","USDA-ARS National Soil Tilth Laboratory Deep Loess Research Station near Treynor, Iowa",41.218931,-95.618385,Soil Chemistry;Soil Physical;Soil Physical
21569432,Raebel (2012),Identifying high-quality pond habitats for Odonata in lowland England: implications for agri-environment schemes,2012,2010-2014,buffer,UK,UK,River Ray catchment (Buckinghamshire and Oxfordshire),51.619023,-1.226136,Biodiversity
21569433,RAEBEL (2012),Identifying high‐quality pond habitats for Odonata in lowland England: implications for agri‐environment schemes,2012,2010-2014,pond buffer,UK,UK,River Ray catchment (Buckinghamshire and Oxfordshire),51.619023,-1.226136,Biodiversity
21569434,Raebel (2012),Multi-scale effects of farmland management on dragonfly and damselfly assemblages of farmland ponds,2012,2010-2014,buffer,UK,UK,River Ray catchment (Buckinghamshire and Oxfordshire),51.619023,-1.226136,Biodiversity
21569436,Rahman (2014),Bacterial diversity of a wooded riparian strip specifically designed for enhancing the denitrification process,2014,2010-2014,wooded riparian strip,Italy,Italy,15 km from Venice,45.458493,12.168052,Soil Chemistry;Pollution
21569438,Rambonilaza (2007),Land-use planning and public preferences: What can we learn from choice experiment method?,2007,2005-2009,hedgerow,France,France,"Monts d’Arrée, central Brittany",48.412612,-3.902493,Social
21569443,Ramsden (2015),"Optimizing field margins for biocontrol services: The relative role of aphid abundance, annual floral resources, and overwinter habitat in enhancing aphid natural enemies",2015,2015-2016,field margin,UK,UK,"Berkshire; Stern Farm( 51 12' 45''N, 0 56' 140'' W) and Manor Farm (51 12' 29''N, 1 3' 15'' W), Essex; Fingrith Hall Farm (51 42' 28''N, 0 19' 39''E).",51.627882,0.439802,Human Use
21569446,Rands (1987),Hedgerow management for the conservation of partridges Perdix perdix and Alectoris rufa,1987,1985-1989,hedgerow;field boundary,UK,UK,"South east and central England, Scotland",54.016116,-1.900683,Biodiversity;Human Use;Recreation
21569448,Rands (1988),THE EFFECT OF NEST SITE SELECTION ON NEST PREDATION IN GRAY PARTRIDGE PERDIX-PERDIX AND RED-LEGGED PARTRIDGE ALECTORIS-RUFA,1988,1985-1989,field boundary;hedge,UK,UK,Norfolk and Wiltshire,54.137088,-0.79868,Biodiversity
21569452,Ranjha (2014),Movement of carabids from grassy strips to crop land in organic agriculture,2014,2010-2014,grassy strip,Germany,Germany,"Ritzerauhof and Lämmerhof, Schleswig-Holstein, northern Germany",53.668227,10.58467,Biodiversity
21569464,Raynor (1974),ENHANCEMENT OF PARTICULATE CONCENTRATIONS DOWNWIND OF VEGETATIVE BARRIERS,1974,1970-1974,vegetative barrier;hedgerow,USA,"New York, USA","Saratoga Springs and Guilderland (Albany County), New York",43.07946,-73.804711,Ecosystem Functioning;Ecosystem Functioning
21569465,Raynor (1974),Enhancement of particulate concentrations downwind of vegetative barriers,1974,1970-1974,hedgerow,USA,"New York, USA","Saratoga springs; Guilderland, Albany county",43.07946,-73.804711,Human Use
21569466,Reberg-Horton (2011),Influence of field margin type on weed species richness and abundance in conventional crop fields,2011,2010-2014,field margin,USA,"North Carolina, USA","Farming Systems Research Unit at the Center for Environmental Farming Systems near Goldsboro, (35.4N 78.1W, 41m)",35.383527,-78.036373,Biodiversity
